site,lat,lon
Chei Solar,35.8918,-78.1823
Cherry Blossom Solar LLC,33.762185,-79.458012
Chestnut,36.160164,-119.904936
Chestnut Solar,36.18,-77.712
"Choco Solar, LLC",35.482032,-77.113067
Chocowinity Solar LLC,35.515,-77.09
Chowan Jehu Solar,36.283778,-76.602304
Chuckawalla Solar,33.568333,-114.918056
Chuckawalla Valley State Prison,33.565329,-114.903629
CID Solar (CA),36.140764,-119.566896
"CID Solar, LLC",36.138056,-119.564722
Cirrus Solar LLC,35.969444,-78.265
Citizen B,36.723806,-120.432139
Citizens Imperial Solar,33.191661,-115.433783
City of Atwater NEM,37.274,-120.629
City of Hayward WWTP,37.633526,-122.139717
City of Long Beach Airport Lot A & B,33.81516,-118.141168
City of Madera WWTP,36.9408,-120.1572
City of Rosamond (CA),34.835677,-118.146832
Civic Center East,36.33,-119.317
"Clear Solar I, LLC",35.308314,-81.841826
"Cline Solar Farm, LLC",35.72,-81.417
Clipperton Holdings,34.966944,-78.354444
Clipperton Holdings LLC,34.966944,-78.354444
Clovelly Solar,35.416929,-78.773252
Cloverdale Solar Center,38.769581,-123.020724
Cloverdale Solar I,38.773056,-123.017778
Clovis East High School,36.799669,-119.640598
Clovis High School,36.817101,-119.681918
Clovis North High School,36.890115,-119.736674
"Coats Solar Farm, LLC",35.414507,-78.690576
"Cohen Farm Solar, LLC",35.557224,-79.195789
Colgreen North Shore Solar Farm,33.540124,-115.974771
Colice Hall Solar,36.323266,-77.010069
Colleton Solar Farm,32.913333,-80.6925
Colon PV,33.792694,-118.252407
"Colton Solar One, LLC",34.093333,-117.319444
"Colton Solar Two, LLC",34.042222,-117.361667
"Columbia Solar Energy, LLC",38.019671,-121.86506
Community Solar 1,32.982778,-115.481944
Concord Farm,35.444235,-80.663641
"Conetoe II Solar, LLC",35.822,-77.481
Conetoe Solar,35.825182,-77.457772
Coogee Solar,35.150766,-76.823601
Cookstown,35.436844,-77.973754
Copperfield,35.340067,-79.991158
Corcoran,36.102307,-119.566516
Corcoran Irrigation District,36.140764,-119.566896
Corcoran Solar,36.138333,-119.573333
Corcoran Solar 2,36.141944,-119.581667
Corcoran Solar 3,36.15042,-119.58542
Cork Oak Solar,36.371,-77.571
"Cornwall Solar Center, LLC",36.366944,-78.626111
Coronal Lost Hills,35.726667,-119.905833
Coronus Adelanto West 1,34.548056,-117.464444
Coronus Adelanto West 2,34.548056,-117.464444
Costa View Farms,36.99,-120.308
"Cotten Farm, LLC",35.528489,-79.198481
"Cottonwood Solar, LLC",36.50806,-77.61444
"Cottonwood Solar, LLC (City of Corcoran)",36.134444,-119.554444
"Cottonwood Solar, LLC (Goose Lake)",35.593611,-119.58
"Cottonwood Solar, LLC Cottonwood Carport",38.129759,-122.568158
"Cougar Solar, LLC",35.462405,-79.180654
"County Home Solar Center, LLC",35.263255,-81.508684
County Home Solar LLC,34.925452,-79.722852
County of San Diego SBRC,32.63266,-117.07775
"Creech Solar 2, LLC",35.72196,-78.60434
Crestwood Solar Center LLC,36.353533,-78.584212
"Creswell Alligood Solar, LLC",35.898889,-76.379444
Crockett Farm,35.230833,-77.5525
Crooked Run,34.67704,-77.977497
Crown,34.648205,-80.719878
Crown Cooling Facility,32.967222,-115.5325
"Cruise Solar, LLC",34.69193,-77.543559
Crystal Farms Local Solar,36.633807,-120.177104
"CS Murphy Point, LLC",34.989539,-84.166197
CSD 2 - Heritage High,37.921944,-121.755556
CSD 2- Freedom High,37.969722,-121.719444
CSP Los Angeles,34.694314,-118.227759
CSU Fresno Solar Project,36.809841,-119.741665
CSU Long Beach Lots 7 & 14,33.78104,-118.11357
CSU Sacramento I,38.553,-121.422
CSU San Jose State University,37.334,-121.884
CSUF Nutwood Solar,33.87912,-117.8887
CSUF State College,33.87912,-117.8887
CSUF Trigeneration,33.880638,-117.88656
"Cubera Solar, LLC",35.330022,-78.610091
"Currin Solar, LLC",36.289625,-78.633283
"Cuyama Solar, LLC",34.901,-119.596
D'Arrigo Brothers - Phase 4,36.616,-121.636
Daggett 2,34.860918,-116.855281
Danell Bros Inc,36.267574,-119.631577
Daniel Farm LLC,35.848889,-80.553611
"Darlington Solar, LLC",34.32,-79.917
Davidson III,35.740813,-80.287853
Davidson IV,35.740813,-80.287853
Davidson V,35.740813,-80.287853
"Davis Lane Solar, LLC",36.107345,-76.52924
Daystar Solar,35.035589,-77.202453
DD Fayetteville Solar NC LLC,34.834444,-78.843611
DE Solar 10240 Old Dowd Rd,35.2458,-80.9967
DE Solar 1725 Drywall Dr,35.3261,-80.9967
