owner,customer,ssi,method
"SR Arlington II MT, LLC","SR Arlington II MT, LLC",False,unmatched - passthrough
Red Mesa Wind LLC,Red Mesa Wind LLC,False,unmatched - passthrough
Invista,Invista,False,unmatched - passthrough
Baldwin Wind LLC,Baldwin Wind LLC,False,unmatched - passthrough
Meadow Lake Wind Farm II LLC,Meadow Lake Wind Farm II LLC,False,unmatched - passthrough
FPL Energy Stateline II Inc,NextEra Energy Resources,True,rule
Power City Partners LP,Power City Partners LP,False,unmatched - passthrough
FPL Energy Sooner Wind LLC,NextEra Energy Resources,True,rule
"Parrey, LLC","Parrey, LLC",False,unmatched - passthrough
Rosewater Wind Farm LLC,Rosewater Wind Farm LLC,False,unmatched - passthrough
Milford Wind Corridor Stage II LLC,Milford Wind Corridor Stage II LLC,False,unmatched - passthrough
"Wharton County Elec Coop, Inc",Electric Cooperative (various),False,rule
"White Pine Solar, LLC","White Pine Solar, LLC",False,unmatched - passthrough
Hatchet Ridge Wind LLC,Hatchet Ridge Wind LLC,False,unmatched - passthrough
"Eight Point Wind, LLC","Eight Point Wind, LLC",False,unmatched - passthrough
South Trent Wind LLC,South Trent Wind LLC,False,unmatched - passthrough
Swoose II,Swoose II,False,unmatched - passthrough
Flower Valley II,Flower Valley II,False,unmatched - passthrough
Smoky Hills Wind Farm I LLC,Smoky Hills Wind Farm I LLC,False,unmatched - passthrough
"FPLE Wind, LLC","FPLE Wind, LLC",False,unmatched - passthrough
Paulding Wind Farm III LLC,Paulding Wind Farm III LLC,False,unmatched - passthrough
"Sagebrush Power Partners, LLC","Sagebrush Power Partners, LLC",False,unmatched - passthrough
High Prairie Wind Farm II LLC,High Prairie Wind Farm II LLC,False,unmatched - passthrough
Telocaset Wind Power Partners,Telocaset Wind Power Partners,False,unmatched - passthrough
Rail Splitter Wind Farm LLC,Rail Splitter Wind Farm LLC,False,unmatched - passthrough
"Valcour Bliss Windpark, LLC","Valcour Bliss Windpark, LLC",False,unmatched - passthrough
"Valcour Clinton Windpark, LLC","Valcour Clinton Windpark, LLC",False,unmatched - passthrough
"Buckthorn Wind Project, LLC","Buckthorn Wind Project, LLC",False,unmatched - passthrough
Tuscola Wind II LLC,Tuscola Wind II LLC,False,unmatched - passthrough
Al Pastor BESS LLC,Al Pastor BESS LLC,False,unmatched - passthrough
Fern Solar LLC,Fern Solar LLC,False,unmatched - passthrough
"Wildwood Solar, LLC","Wildwood Solar, LLC",False,unmatched - passthrough
Key Capture Energy,Key Capture Energy,False,rule
"Kiowa County Solar Project, LLC","Kiowa County Solar Project, LLC",False,unmatched - passthrough
"Bluebird Solar, LLC","Bluebird Solar, LLC",False,unmatched - passthrough
"Chisholm Grid, LLC","Chisholm Grid, LLC",False,unmatched - passthrough
"Wildhorse Wind Energy, LLC","Wildhorse Wind Energy, LLC",False,unmatched - passthrough
"Ables Springs Storage, LLC","Ables Springs Storage, LLC",False,unmatched - passthrough
AEP Renewables,"American Electric Power Company, Inc.",True,rule
Victoria Port Power II,Victoria Port Power II,False,unmatched - passthrough
"AES ES Alamitos, LLC",AES Wind Generation,True,rule
"TX Gulf Solar I, LLC","TX Gulf Solar I, LLC",False,unmatched - passthrough
EDPR CA Solar Park II LLC,EDPR CA Solar Park II LLC,False,unmatched - passthrough
Hunter Solar LLC,Hunter Solar LLC,False,unmatched - passthrough
"Ignacio Grid, LLC","Ignacio Grid, LLC",False,unmatched - passthrough
"Maverick Solar 6, LLC","Maverick Solar 6, LLC",False,unmatched - passthrough
"Maverick Solar 4, LLC","Maverick Solar 4, LLC",False,unmatched - passthrough
RE Astoria LLC,RE Astoria LLC,False,unmatched - passthrough
Cald BESS LLC,Cald BESS LLC,False,unmatched - passthrough
RE Mustang LLC,RE Mustang LLC,False,unmatched - passthrough
Riverstart Solar Park III LLC,Riverstart Solar Park III LLC,False,unmatched - passthrough
"HDSI, LLC","HDSI, LLC",False,unmatched - passthrough
Martinez Refining Co,Martinez Refining Co,False,unmatched - passthrough
"Ragsdale Solar, LLC","Ragsdale Solar, LLC",False,unmatched - passthrough
"Sunflower County Solar Project, LLC","Sunflower County Solar Project, LLC",False,unmatched - passthrough
"Hornshadow Solar, LLC","Hornshadow Solar, LLC",False,unmatched - passthrough
Homer Electric Assn Inc,Homer Electric Assn Inc,False,unmatched - passthrough
"High Lonesome Mesa, LLC","High Lonesome Mesa, LLC",False,unmatched - passthrough
BPL Sol Solar LLC,BPL Sol Solar LLC,False,unmatched - passthrough
BPL Crown Solar LLC,BPL Crown Solar LLC,False,unmatched - passthrough
"CPV Maple Hill Solar, LLC",CPV / Competitive Power Ventures,False,rule
Meadowlark Wind I LLC,Meadowlark Wind I LLC,False,unmatched - passthrough
Arbuckle Mountain Wind Farm LLC,Arbuckle Mountain Wind Farm LLC,False,unmatched - passthrough
Terra-Gen Operating Co-BESS,Terra-Gen,False,rule
Meadow Lake Wind Farm V LLC,Meadow Lake Wind Farm V LLC,False,unmatched - passthrough
Lost Lakes Wind Farm LLC,Lost Lakes Wind Farm LLC,False,unmatched - passthrough
New Market Solar,New Market Solar,False,unmatched - passthrough
MPH Cross Island Power,MPH Cross Island Power,False,unmatched - passthrough
"Clearwater Wind III, LLC","Clearwater Wind III, LLC",False,unmatched - passthrough
SJRR Power LLC,SJRR Power LLC,False,unmatched - passthrough
St Gall Energy Storage II LLC,St Gall Energy Storage II LLC,False,unmatched - passthrough
"Madero Grid, LLC","Madero Grid, LLC",False,unmatched - passthrough
"Burksol, LLC","Burksol, LLC",False,unmatched - passthrough
"SR Lambert II, LLC","SR Lambert II, LLC",False,unmatched - passthrough
Saint Solar LLC,Saint Solar LLC,False,unmatched - passthrough
Saint Energy Storage II LLC,Saint Energy Storage II LLC,False,unmatched - passthrough
"Jackson Fuller Energy Storage, LLC","Jackson Fuller Energy Storage, LLC",False,unmatched - passthrough
"Stoneray Power Partners, LLC","Stoneray Power Partners, LLC",False,unmatched - passthrough
"GridFlex Storage, LLC","GridFlex Storage, LLC",False,unmatched - passthrough
"Amite Solar, LLC","Amite Solar, LLC",False,unmatched - passthrough
"Angelo Storage, LLC","Angelo Storage, LLC",False,unmatched - passthrough
Grizzly Ridge Solar LLC,Grizzly Ridge Solar LLC,False,unmatched - passthrough
"SR Lumpkin, LLC","SR Lumpkin, LLC",False,unmatched - passthrough
Tres Power Victoria LLC,Tres Power Victoria LLC,False,unmatched - passthrough
OE_TN1,OE_TN1,False,unmatched - passthrough
North Star Solar PV LLC,North Star Solar PV LLC,False,unmatched - passthrough
"SR Lambert I, LLC","SR Lambert I, LLC",False,unmatched - passthrough
"Lapetus Energy Project, LLC","Lapetus Energy Project, LLC",False,unmatched - passthrough
"Ventura Energy Storage, LLC","Ventura Energy Storage, LLC",False,unmatched - passthrough
"Cereal City Solar, LLC","Cereal City Solar, LLC",False,unmatched - passthrough
Pome BESS LLC,Pome BESS LLC,False,unmatched - passthrough
Point Beach Solar,Point Beach Solar,False,unmatched - passthrough
"Ponderosa Wind II, LLC","Ponderosa Wind II, LLC",False,unmatched - passthrough
"Black Bear Alabama Solar 1, LLC","Black Bear Alabama Solar 1, LLC",False,unmatched - passthrough
Cheyenne Light Fuel & Power,Cheyenne Light Fuel & Power,False,unmatched - passthrough
"Chicot Solar, LLC","Chicot Solar, LLC",False,unmatched - passthrough
Sky Ranch Bess II,Sky Ranch Bess II,False,unmatched - passthrough
Drew Solar LLC,Drew Solar LLC,False,unmatched - passthrough
"Borderlands Wind, LLC","Borderlands Wind, LLC",False,unmatched - passthrough
"Searcy Solar, LLC","Searcy Solar, LLC",False,unmatched - passthrough
"Boulder Solar Power, LLC","Boulder Solar Power, LLC",False,unmatched - passthrough
"Wildflower Solar, LLC","Wildflower Solar, LLC",False,unmatched - passthrough
Foster Clean Power A LLC,Foster Clean Power A LLC,False,unmatched - passthrough
Franklin Solar Idaho,Franklin Solar Idaho,False,unmatched - passthrough
Gambit Energy Storage LLC,Gambit Energy Storage LLC,False,unmatched - passthrough
"Fish Springs Ranch Solar, LLC","Fish Springs Ranch Solar, LLC",False,unmatched - passthrough
Blue Canyon Windpower VI LLC,Blue Canyon Windpower VI LLC,False,unmatched - passthrough
Caballero CA Storage LLC,Caballero CA Storage LLC,False,unmatched - passthrough
Georgia Energy Cooperative,Electric Cooperative (various),False,rule
"White Rock Wind West, LLC","White Rock Wind West, LLC",False,unmatched - passthrough
Hanford BESS LLC,Hanford BESS LLC,False,unmatched - passthrough
"Blue Summit II Wind, LLC","Blue Summit II Wind, LLC",False,unmatched - passthrough
Henrietta BESS LLC,Henrietta BESS LLC,False,unmatched - passthrough
"Oliver Wind III, LLC","Oliver Wind III, LLC",False,unmatched - passthrough
Perrin Ranch Wind LLC,Perrin Ranch Wind LLC,False,unmatched - passthrough
Redbed Plains Wind Farm LLC,Redbed Plains Wind Farm LLC,False,unmatched - passthrough
Blue Canyon Windpower V LLC,Blue Canyon Windpower V LLC,False,unmatched - passthrough
Day County Wind LLC,Day County Wind LLC,False,unmatched - passthrough
"Dressor Plains Solar, LLC","Dressor Plains Solar, LLC",False,unmatched - passthrough
New Energy Solar,New Energy Solar,False,unmatched - passthrough
BAIF Granite Holdings LLC,BAIF Granite Holdings LLC,False,unmatched - passthrough
Paulding Wind Farm II LLC,Paulding Wind Farm II LLC,False,unmatched - passthrough
"Prairie State Solar, LLC","Prairie State Solar, LLC",False,unmatched - passthrough
"Harvest Gold Solar Power, LLC","Harvest Gold Solar Power, LLC",False,unmatched - passthrough
"Aulander Holloman Solar, LLC","Aulander Holloman Solar, LLC",False,unmatched - passthrough
Rising Tree Wind Farm III LLC,Rising Tree Wind Farm III LLC,False,unmatched - passthrough
NextEra Energy Resources Ensign Wind,NextEra Energy Resources,True,rule
Harvest Wind Project TIC,Harvest Wind Project TIC,False,unmatched - passthrough
NextEra Energy Resources Breckinridge,NextEra Energy Resources,True,rule
Alabama Municipal Elec Authority - (AL),Municipal / Public Utility (various),False,rule
Osceola Windpower LLC,Osceola Windpower LLC,False,unmatched - passthrough
"Bayou Galion Solar Project, LLC","Bayou Galion Solar Project, LLC",False,unmatched - passthrough
Quilt Block Wind Farm LLC,Quilt Block Wind Farm LLC,False,unmatched - passthrough
MMC Escondido LLC,MMC Escondido LLC,False,unmatched - passthrough
Texas Medical Center Central,Institutional Self-Generation (various),False,rule
Hoopeston Wind LLC,Hoopeston Wind LLC,False,unmatched - passthrough
"FPL Energy Hancock County Wind, LLC",NextEra Energy Resources,True,rule
City of Lubbock - (TX),Municipal / Public Utility (various),False,rule
"Valcour Altona Windpark, LLC","Valcour Altona Windpark, LLC",False,unmatched - passthrough
Malaga BESS LLC,Malaga BESS LLC,False,unmatched - passthrough
Panwest NCA2 Holdings LLC,Panwest NCA2 Holdings LLC,False,unmatched - passthrough
Delaware Municipal Electric Corp,Municipal / Public Utility (various),False,rule
"Horus West Virginia 1, LLC","Horus West Virginia 1, LLC",False,unmatched - passthrough
Waterbury Generation LLC,Waterbury Generation LLC,False,unmatched - passthrough
Energy Northwest,Energy Northwest,False,unmatched - passthrough
Strauss Wind LLC,Strauss Wind LLC,False,unmatched - passthrough
"Happy Solar 1, LLC","Happy Solar 1, LLC",False,unmatched - passthrough
Bonneville Nevada Corporation,Bonneville Nevada Corporation,False,unmatched - passthrough
NRG Energy Gas & Wind Holdings Inc,NRG Energy Group,False,rule
BP PLC,BP PLC,False,unmatched - passthrough
Minonk Stewardship Wind LLC,Minonk Stewardship Wind LLC,False,unmatched - passthrough
"Whitetail Wind Energy, LLC","Whitetail Wind Energy, LLC",False,unmatched - passthrough
Georgia-Pacific Consumer Oper. Green Bay LLC,Georgia-Pacific Consumer Oper. Green Bay LLC,False,unmatched - passthrough
Indeck-Olean Ltd Partnership,Indeck-Olean Ltd Partnership,False,unmatched - passthrough
"CVI Renewables Holdings, LLC.","CVI Renewables Holdings, LLC.",False,unmatched - passthrough
Big Level Wind LLC,Big Level Wind LLC,False,unmatched - passthrough
Primary Energy,Primary Energy,False,unmatched - passthrough
64KT 8me LLC,8minute Solar Energy,False,rule
"High River Energy Center, LLC","High River Energy Center, LLC",False,unmatched - passthrough
Resurgence Solar,Resurgence Solar,False,unmatched - passthrough
"Superstition Energy Storage, LLC","Superstition Energy Storage, LLC",False,unmatched - passthrough
"Michigan Wind 2, LLC","Michigan Wind 2, LLC",False,unmatched - passthrough
Cottonwood Wind Project,Cottonwood Wind Project,False,unmatched - passthrough
Rensselaer Generating LLC,Rensselaer Generating LLC,False,unmatched - passthrough
CONSOL Energy Inc,CONSOL Energy Inc,False,unmatched - passthrough
Gans Energy LLC,Gans Energy LLC,False,unmatched - passthrough
"Chambersburg Energy, LLC","Chambersburg Energy, LLC",False,unmatched - passthrough
Freeport LNG Development L.P,Freeport LNG Development L.P,False,unmatched - passthrough
IPC-Mansfield Mill,IPC-Mansfield Mill,False,unmatched - passthrough
Ascend Performance Materials LLC,Ascend Performance Materials LLC,False,unmatched - passthrough
"SR Snipesville, LLC","SR Snipesville, LLC",False,unmatched - passthrough
"Golden Hills Wind, LLC","Golden Hills Wind, LLC",False,unmatched - passthrough
Michigan State University,Institutional Self-Generation (various),False,rule
Rochester Public Utilities,Rochester Public Utilities,False,unmatched - passthrough
"FPL Energy Operating Services, Inc.",NextEra Energy Resources,True,rule
FPL Energy Red Canyon LLC,NextEra Energy Resources,True,rule
Eastman Chemical Co-TN Ops,Eastman Chemical Co-TN Ops,False,unmatched - passthrough
GSEone,GSEone,False,unmatched - passthrough
"Foxhound Solar, LLC","Foxhound Solar, LLC",False,unmatched - passthrough
NorthWestern Energy - (SD),NorthWestern Energy - (SD),False,unmatched - passthrough
Petra Nova Power I LLC,Petra Nova Power I LLC,False,unmatched - passthrough
RISEC Operating Services,RISEC Operating Services,False,unmatched - passthrough
"Beebe Renewable Energy, LLC","Beebe Renewable Energy, LLC",False,unmatched - passthrough
Corn Belt Power Coop,Electric Cooperative (various),False,rule
"Valcour Ellenburg Windpark, LLC","Valcour Ellenburg Windpark, LLC",False,unmatched - passthrough
"Bishop Hill Energy II, LLC","Bishop Hill Energy II, LLC",False,unmatched - passthrough
"Stuttgart Solar, LLC","Stuttgart Solar, LLC",False,unmatched - passthrough
Adams Solar LLC (PA),Adams Solar LLC (PA),False,unmatched - passthrough
CRE-Apex Montana LLC,CRE-Apex Montana LLC,False,unmatched - passthrough
"East Atmore Solar, LLC","East Atmore Solar, LLC",False,unmatched - passthrough
"Elektron Solar, LLC","Elektron Solar, LLC",False,unmatched - passthrough
"CPV Stagecoach Solar, LLC",CPV / Competitive Power Ventures,False,rule
"Rocket Solar, LLC","Rocket Solar, LLC",False,unmatched - passthrough
CRE-Three Peaks Utah LLC,CRE-Three Peaks Utah LLC,False,unmatched - passthrough
Garnet Mesa Solar LLC,Garnet Mesa Solar LLC,False,unmatched - passthrough
"Pioneer Solar (CO), LLC","Pioneer Solar (CO), LLC",False,unmatched - passthrough
"Grand View PV Solar Two, LLC","Grand View PV Solar Two, LLC",False,unmatched - passthrough
"Blackwater Solar, LLC","Blackwater Solar, LLC",False,unmatched - passthrough
Sac County Wind,Sac County Wind,False,unmatched - passthrough
"Johanna Energy Center, LLC","Johanna Energy Center, LLC",False,unmatched - passthrough
Utah Red Hills Renewable Energy Park LLC,Utah Red Hills Renewable Energy Park LLC,False,unmatched - passthrough
VESI 12 LLC,VESI 12 LLC,False,unmatched - passthrough
"Altavista Solar, LLC","Altavista Solar, LLC",False,unmatched - passthrough
Chillicothe Municipal Utils (MO),Municipal / Public Utility (various),False,rule
Nestlewood Solar,Nestlewood Solar,False,unmatched - passthrough
"SR Ailey, LLC","SR Ailey, LLC",False,unmatched - passthrough
Signal Hill Generating LLC,Signal Hill Generating LLC,False,unmatched - passthrough
"Old Gold Energy Center, LLC","Old Gold Energy Center, LLC",False,unmatched - passthrough
"Mitsubishi Heavy Industries America, Inc.","Mitsubishi Heavy Industries America, Inc.",False,unmatched - passthrough
"Lorenzo Wind, LLC","Lorenzo Wind, LLC",False,unmatched - passthrough
"Steel Solar, LLC","Steel Solar, LLC",False,unmatched - passthrough
"Harts Mills Solar, LLC","Harts Mills Solar, LLC",False,unmatched - passthrough
Bulldog Solar LLC,Bulldog Solar LLC,False,unmatched - passthrough
"Conetoe II Solar, LLC","Conetoe II Solar, LLC",False,unmatched - passthrough
Goose Prairie Solar LLC,Goose Prairie Solar LLC,False,unmatched - passthrough
"SP Decatur Parkway Solar, LLC","SP Decatur Parkway Solar, LLC",False,unmatched - passthrough
City of St George - (UT),Municipal / Public Utility (various),False,rule
DeWind Co.,DeWind Co.,False,unmatched - passthrough
Sigurd Solar LLC,Sigurd Solar LLC,False,unmatched - passthrough
"Desert Harvest, LLC","Desert Harvest, LLC",False,unmatched - passthrough
"Lancaster Solar GA, LLC","Lancaster Solar GA, LLC",False,unmatched - passthrough
Shell Chemical LP - Geismar,Industrial Self-Generation (various),False,rule
Laredo Ridge Wind LLC,Laredo Ridge Wind LLC,False,unmatched - passthrough
UPC Power Solutions,UPC Power Solutions,False,unmatched - passthrough
NextEra Energy Majestic Wind,NextEra Energy Resources,True,rule
Rising Tree Wind Farm LLC,Rising Tree Wind Farm LLC,False,unmatched - passthrough
GSPPR LLC,GSPPR LLC,False,unmatched - passthrough
"Assembly Solar III, LLC","Assembly Solar III, LLC",False,unmatched - passthrough
Terrebonne Parish Consol Gov't,Terrebonne Parish Consol Gov't,False,unmatched - passthrough
"Phobos Solar, LLC","Phobos Solar, LLC",False,unmatched - passthrough
SunStrong Management,SunStrong / SunPower,False,rule
"Moonshot Solar, LLC","Moonshot Solar, LLC",False,unmatched - passthrough
"Cane Creek Solar, LLC","Cane Creek Solar, LLC",False,unmatched - passthrough
Arkwright Summit Wind Farm LLC,Arkwright Summit Wind Farm LLC,False,unmatched - passthrough
"Vasco Winds, LLC","Vasco Winds, LLC",False,unmatched - passthrough
"NextEra Energy Montezuma Wind II, LLC",NextEra Energy Resources,True,rule
"Headwater Energy, LLC","Headwater Energy, LLC",False,unmatched - passthrough
Pecos Wind II LP,Pecos Wind II LP,False,unmatched - passthrough
"Sendero Wind Energy, LLC","Sendero Wind Energy, LLC",False,unmatched - passthrough
US Magnesium,US Magnesium,False,unmatched - passthrough
Jericho Rise Wind Farm LLC,Jericho Rise Wind Farm LLC,False,unmatched - passthrough
"Farmington Solar, LLC","Farmington Solar, LLC",False,unmatched - passthrough
"Forked River Power, LLC","Forked River Power, LLC",False,unmatched - passthrough
"White Oak Solar, LLC","White Oak Solar, LLC",False,unmatched - passthrough
University of California-LA,Institutional Self-Generation (various),False,rule
Duke Energy DEGS North Allegheny,Duke Energy Group,False,rule
"Desert Peak Energy Storage II, LLC","Desert Peak Energy Storage II, LLC",False,unmatched - passthrough
"Catalina Solar, LLC","Catalina Solar, LLC",False,unmatched - passthrough
"Pluto Energy Storage, LLC","Pluto Energy Storage, LLC",False,unmatched - passthrough
"Hunter Solar, LLC","Hunter Solar, LLC",False,unmatched - passthrough
"Gunsight Solar, LLC","Gunsight Solar, LLC",False,unmatched - passthrough
"River Bend Solar, LLC","River Bend Solar, LLC",False,unmatched - passthrough
"Dogfish ESS Assets, LLC","Dogfish ESS Assets, LLC",False,unmatched - passthrough
Montville Power LLC,Montville Power LLC,False,unmatched - passthrough
"Allora Solar, LLC","Allora Solar, LLC",False,unmatched - passthrough
"Horseshoe Solar, LLC","Horseshoe Solar, LLC",False,unmatched - passthrough
Brownsville Public Utilities Board,Municipal / Public Utility (various),False,rule
RE Astoria 2 LLC,RE Astoria 2 LLC,False,unmatched - passthrough
NC 102 Project LLC,NC 102 Project LLC,False,unmatched - passthrough
Pheasant Run Wind LLC,Pheasant Run Wind LLC,False,unmatched - passthrough
"Sunpin Holdings, LLC","Sunpin Holdings, LLC",False,unmatched - passthrough
"Rutherford Farm, LLC","Rutherford Farm, LLC",False,unmatched - passthrough
Bronson Solar LLC,Bronson Solar LLC,False,unmatched - passthrough
Taylor Creek Solar LLC,Taylor Creek Solar LLC,False,unmatched - passthrough
"FRP Gadsden County Solar, LLC","FRP Gadsden County Solar, LLC",False,unmatched - passthrough
"FRP Columbia County Solar, LLC","FRP Columbia County Solar, LLC",False,unmatched - passthrough
"Storey Bend Solar, LLC","Storey Bend Solar, LLC",False,unmatched - passthrough
Harmony Florida Solar LLC,Harmony Florida Solar LLC,False,unmatched - passthrough
"FRP Tupelo Solar, LLC","FRP Tupelo Solar, LLC",False,unmatched - passthrough
"Harmony Florida Solar II, LLC","Harmony Florida Solar II, LLC",False,unmatched - passthrough
"Bell Ridge Solar, LLC","Bell Ridge Solar, LLC",False,unmatched - passthrough
"FRP Gilchrist County Solar, LLC","FRP Gilchrist County Solar, LLC",False,unmatched - passthrough
Misenheimer Solar LLC,Misenheimer Solar LLC,False,unmatched - passthrough
Blue Canyon Windpower LLC,Blue Canyon Windpower LLC,False,unmatched - passthrough
Louisiana Energy & Power Authority,Louisiana Energy & Power Authority,False,unmatched - passthrough
Dartmouth Power Associates LP,Dartmouth Power Associates LP,False,unmatched - passthrough
City of Lake Worth Beach - (FL),Municipal / Public Utility (various),False,rule
Clearlight Energy Sanger LLC,Clearlight Energy,True,rule
"SR Terrell, LLC","SR Terrell, LLC",False,unmatched - passthrough
Indorama Ventures,Indorama Ventures,False,unmatched - passthrough
"Eastover Solar, LLC","Eastover Solar, LLC",False,unmatched - passthrough
"Flint Hills Resources Pine Bend, LLC","Flint Hills Resources Pine Bend, LLC",False,unmatched - passthrough
House Mountain,House Mountain,False,unmatched - passthrough
City of Vineland - (NJ),Municipal / Public Utility (various),False,rule
"Ranchland Wind Storage, LLC","Ranchland Wind Storage, LLC",False,unmatched - passthrough
Wyandotte Municipal Serv Comm - (MI),Municipal / Public Utility (various),False,rule
Atalco Gramercy LLC,Atalco Gramercy LLC,False,unmatched - passthrough
"Rocking R Solar, LLC","Rocking R Solar, LLC",False,unmatched - passthrough
Castleton Energy Center,Castleton Energy Center,False,unmatched - passthrough
"NTUA Generation - Utah, LLC","NTUA Generation - Utah, LLC",False,unmatched - passthrough
"Elawan Dileo Solar, LLC","Elawan Dileo Solar, LLC",False,unmatched - passthrough
International Paper Co,International Paper Co,False,unmatched - passthrough
Ahlstrom Power Windsor Locks LLC,Ahlstrom Power Windsor Locks LLC,False,unmatched - passthrough
Southwestern Electric Coop Inc - (IL),Electric Cooperative (various),False,rule
"Novis Renewables, LLC","Novis Renewables, LLC",False,unmatched - passthrough
Fresno Power Investors LP,Fresno Power Investors LP,False,unmatched - passthrough
Merck & Co Inc-West Point,Institutional Self-Generation (various),False,rule
"Cabin Creek Solar, LLC","Cabin Creek Solar, LLC",False,unmatched - passthrough
"SR Cedar Springs, LLC","SR Cedar Springs, LLC",False,unmatched - passthrough
"SR McKellar, LLC","SR McKellar, LLC",False,unmatched - passthrough
Central Florida Tourism Oversight District,Central Florida Tourism Oversight District,False,unmatched - passthrough
Desert Harvest II LLC,Desert Harvest II LLC,False,unmatched - passthrough
Chaves Solar LLC,Chaves Solar LLC,False,unmatched - passthrough
"Kossuth County Wind, LLC","Kossuth County Wind, LLC",False,unmatched - passthrough
Inland Empire Energy Storage,Inland Empire Energy Storage,False,unmatched - passthrough
Mulligan Solar,Mulligan Solar,False,unmatched - passthrough
Criterion Power Partners LLC,Criterion Power Partners LLC,False,unmatched - passthrough
"Roswell Solar, LLC","Roswell Solar, LLC",False,unmatched - passthrough
"Titan Solar 1, LLC","Titan Solar 1, LLC",False,unmatched - passthrough
"Powells Creek Farm Solar, LLC","Powells Creek Farm Solar, LLC",False,unmatched - passthrough
"Hobnail Solar, LLC","Hobnail Solar, LLC",False,unmatched - passthrough
X-Elio North America Inc,X-Elio North America Inc,False,unmatched - passthrough
California Dept. of Water Resources,California Dept. of Water Resources,False,unmatched - passthrough
PEI Power Corp,PEI Power Corp,False,unmatched - passthrough
Kimberly-Clark Corp,Kimberly-Clark Corp,False,unmatched - passthrough
"Michigan Wind 1, LLC","Michigan Wind 1, LLC",False,unmatched - passthrough
Kawailoa Wind LLC,Kawailoa Wind LLC,False,unmatched - passthrough
"Wellhead Services, Inc","Wellhead Services, Inc",False,unmatched - passthrough
Procter&Gamble Paper Products Co-Oxnard,Procter&Gamble Paper Products Co-Oxnard,False,unmatched - passthrough
"Cartier Energy, LLC","Cartier Energy, LLC",False,unmatched - passthrough
"SR Perry, LLC","SR Perry, LLC",False,unmatched - passthrough
RPG Windthorst-2 Investco,RPG Windthorst-2 Investco,False,unmatched - passthrough
Liberty 1 Solar LLC,Liberty 1 Solar LLC,False,unmatched - passthrough
City of Farmington - (NM),Municipal / Public Utility (various),False,rule
New-Indy Ontario LLC,New-Indy Ontario LLC,False,unmatched - passthrough
"SunCoke Energy, Inc.","SunCoke Energy, Inc.",False,unmatched - passthrough
"Allegany Generating Station, LLC","Allegany Generating Station, LLC",False,unmatched - passthrough
Flat Water Wind Farm LLC,Flat Water Wind Farm LLC,False,unmatched - passthrough
McKinley Paper,McKinley Paper,False,unmatched - passthrough
Seneca Power Partners LP,Seneca Power Partners LP,False,unmatched - passthrough
Eurus Combine Hills II LLC,Eurus Combine Hills II LLC,False,unmatched - passthrough
Hog Creek Wind Project LLC,Hog Creek Wind Project LLC,False,unmatched - passthrough
Caden Energix Axton LLC,Caden Energix Axton LLC,False,unmatched - passthrough
"Sequitur Renewables, LLC","Sequitur Renewables, LLC",False,unmatched - passthrough
Crystal Lake 3 LLC,Crystal Lake 3 LLC,False,unmatched - passthrough
Lone Star Solar,Lone Star Solar,False,unmatched - passthrough
Digihost Technology Inc,Digihost Technology Inc,False,unmatched - passthrough
Hutchinson Utilities Comm,Hutchinson Utilities Comm,False,unmatched - passthrough
Ho'Ohana Solar 1 LLC,Ho'Ohana Solar 1 LLC,False,unmatched - passthrough
Whitney Hill Wind Power LLC,Whitney Hill Wind Power LLC,False,unmatched - passthrough
Minco II Energy Storage LLC,Minco II Energy Storage LLC,False,unmatched - passthrough
Breckinridge Energy Storage LLC,Breckinridge Energy Storage LLC,False,unmatched - passthrough
"San Jacinto Grid, LLC","San Jacinto Grid, LLC",False,unmatched - passthrough
"Northumberland Solar, LLC","Northumberland Solar, LLC",False,unmatched - passthrough
Green Mountain Power Corp,Green Mountain Power Corp,False,unmatched - passthrough
"SR DeSoto II, LLC","SR DeSoto II, LLC",False,unmatched - passthrough
"Hawtree Creek Farm Solar, LLC","Hawtree Creek Farm Solar, LLC",False,unmatched - passthrough
City of Peabody - (MA),Municipal / Public Utility (various),False,rule
"Primary Products Ingredients Americas, LLC","Primary Products Ingredients Americas, LLC",False,unmatched - passthrough
Massachusetts Inst of Tech,Massachusetts Inst of Tech,False,unmatched - passthrough
Wolverine Creek Energy LLC,Federal / Regional Power Authority,False,rule
Sterling Power Partners LP,Sterling Power Partners LP,False,unmatched - passthrough
Carthage Energy LLC,Carthage Energy LLC,False,unmatched - passthrough
Spring Canyon Expansion LLC,Spring Canyon Expansion LLC,False,unmatched - passthrough
Falcon Power Operating Company,Falcon Power Operating Company,False,unmatched - passthrough
Central Iowa Power Cooperative,Electric Cooperative (various),False,rule
Marshall Solar Energy Project,Marshall Solar Energy Project,False,unmatched - passthrough
"Primary Products Ingredients Americas, LLC d/b/a Primient","Primary Products Ingredients Americas, LLC d/b/a Primient",False,unmatched - passthrough
"North Star Solar, LLC","North Star Solar, LLC",False,unmatched - passthrough
FPL Energy North Dakota Wind LLC,NextEra Energy Resources,True,rule
Terra-Gen California Wind Holdings LLC,Terra-Gen,False,rule
"PRIMIENT, LLC","PRIMIENT, LLC",False,unmatched - passthrough
Skysol Holdco LLC,Skysol Holdco LLC,False,unmatched - passthrough
Cirrus Wind 1 LLC,Cirrus Wind 1 LLC,False,unmatched - passthrough
