owner,customer,ssi,method
Formosa Plastics Corp,Industrial Self-Generation (various),False,rule
Baytown Energy Center LLC,Baytown Energy Center LLC,False,unmatched - passthrough
Luminant Generation Company LLC,Vistra Group,False,rule
Calpine Corp,Calpine Group,False,rule
Cleco Power LLC,Cleco Corporate Holdings,False,rule
"EIF CV Holdings, LLC","EIF CV Holdings, LLC",False,unmatched - passthrough
South Carolina Public Service Authority,Santee Cooper,False,rule
Southaven Power LLC,Southaven Power LLC,False,unmatched - passthrough
Decatur Energy Center LLC,Decatur Energy Center LLC,False,unmatched - passthrough
Morgan Energy Center LLC,Morgan Energy Center LLC,False,unmatched - passthrough
"Hunterstown Generation, LLC","Hunterstown Generation, LLC",False,unmatched - passthrough
Occidental Chemical Corporation,Occidental Chemical Corporation,False,unmatched - passthrough
GB II New York LLC,GB II New York LLC,False,unmatched - passthrough
Edison Mission Energy,Edison Mission Energy,False,unmatched - passthrough
Arthur Kill Power LLC,Arthur Kill Power LLC,False,unmatched - passthrough
"Calpine Fore River Energy Center, LLC",Calpine Group,False,rule
Hamilton Patriot LLC,Hamilton Patriot LLC,False,unmatched - passthrough
Hamilton Liberty O&M LLC,Hamilton Liberty O&M LLC,False,unmatched - passthrough
Public Service Co of Colorado,Xcel Energy Group,False,rule
Marathon Petroleum Company LP,Marathon Petroleum Company LP,False,unmatched - passthrough
"CPV Towantic, LLC",CPV / Competitive Power Ventures,False,rule
Lake Road Generating Co LP,Lake Road Generating Co LP,False,unmatched - passthrough
"Jera Energy America, LLC","Jera Energy America, LLC",False,unmatched - passthrough
Carroll County Energy LLC,Carroll County Energy LLC,False,unmatched - passthrough
Parkway Generation Keys Energy Center LLC,Parkway Generation,False,rule
DeCordova Power Company LLC,DeCordova Power Company LLC,False,unmatched - passthrough
"Clearway Energy, Inc",Clearway Energy Operating LLC,True,rule
CER Generation LLC,CER Generation LLC,False,unmatched - passthrough
Wise County Power Company LLC,Wise County Power Company LLC,False,unmatched - passthrough
"Red Oak Power, LLC","Red Oak Power, LLC",False,unmatched - passthrough
Pasadena Statutory Trust,Pasadena Statutory Trust,False,unmatched - passthrough
Potomac Energy Center LLC,Potomac Energy Center LLC,False,unmatched - passthrough
"Holtec Palisades, LLC","Holtec Palisades, LLC",False,unmatched - passthrough
"Thad Hill Energy Center, LLC","Thad Hill Energy Center, LLC",False,unmatched - passthrough
Kentucky Utilities Co,PPL Group,False,rule
"Rayburn Country Elec Coop, Inc",Electric Cooperative (various),False,rule
Calpine Corp-Magic Valley,Calpine Group,False,rule
Nebraska Public Power District,Nebraska Public Power District,False,unmatched - passthrough
GE Energy Financial Services,GE Energy Financial Services,False,unmatched - passthrough
Diamond Generating Corporation,Diamond Generating Corporation,False,unmatched - passthrough
Salem Harbor Power Development LP,Salem Harbor Power Development LP,False,unmatched - passthrough
LS Power Development LLC,LS Power Group,False,rule
"Georgia Gulf Generating, LLC","Georgia Gulf Generating, LLC",False,unmatched - passthrough
Granite Ridge Energy LLC,Granite Ridge Energy LLC,False,unmatched - passthrough
"Wolf Hollow I Power, LLC","Wolf Hollow I Power, LLC",False,unmatched - passthrough
Calpine Corp - Pastoria Energy Center,Calpine Group,False,rule
Helix Ironwood LLC,Helix Ironwood LLC,False,unmatched - passthrough
CPV Maryland LLC,CPV / Competitive Power Ventures,False,rule
Woodbridge Energy Center,Woodbridge Energy Center,False,unmatched - passthrough
"CPV Valley, LLC",CPV / Competitive Power Ventures,False,rule
Carlsbad Energy Center LLC,Carlsbad Energy Center LLC,False,unmatched - passthrough
CITGO Petroleum Corp,CITGO Petroleum Corp,False,unmatched - passthrough
West Deptford Energy LLC,West Deptford Energy LLC,False,unmatched - passthrough
Doswell Ltd Partnership,Advanced Power / Doswell,False,rule
Harbert Power Fund V,Harbert Power Fund V,False,unmatched - passthrough
Arkansas Electric Coop Corp,Electric Cooperative (various),False,rule
Sierra Pacific Power Co,NV Energy (BHE),False,rule
"MEC Holdings, LLC","MEC Holdings, LLC",False,unmatched - passthrough
"American Mun Power-Ohio, Inc","American Mun Power-Ohio, Inc",False,unmatched - passthrough
FPL Energy Horse Hollow LLC,NextEra Energy Resources,True,rule
Hartree Partners LP,Hartree Partners LP,False,unmatched - passthrough
PowerSouth Energy Cooperative,Electric Cooperative (various),False,rule
"Evergy Kansas Central, Inc",Evergy,True,rule
Northern Star Generation Services Co LLC,Northern Star Generation Services Co LLC,False,unmatched - passthrough
Ontelaunee Power Operating Company  LLC,Ontelaunee Power Operating Company  LLC,False,unmatched - passthrough
Austin Energy,Austin Energy,False,rule
LSP University Park LLC,LS Power Group,False,rule
Wisconsin Power & Light Co,Alliant Energy,True,rule
Kindle Energy LLC,Kindle Energy LLC,False,unmatched - passthrough
City of Tallahassee - (FL),Municipal / Public Utility (various),False,rule
Dynegy Washington Energy Facility,Vistra Group,False,rule
"Fayette Power Company, LLC","Fayette Power Company, LLC",False,unmatched - passthrough
Arlington Valley LLC,Arlington Valley LLC,False,unmatched - passthrough
Otay Mesa Energy Center LLC,Otay Mesa Energy Center LLC,False,unmatched - passthrough
South Point Energy Center LLC,South Point Energy Center LLC,False,unmatched - passthrough
Interstate Power and Light Co,Alliant Energy,True,rule
Holland Energy LLC,Holland Energy LLC,False,unmatched - passthrough
"AES Huntington Beach Energy, LLC",AES Wind Generation,True,rule
"Kleen Energy Systems, LLC","Kleen Energy Systems, LLC",False,unmatched - passthrough
"Duke Energy Indiana, LLC",Duke Energy Group,False,rule
"Bruce Power, LLC","Bruce Power, LLC",False,unmatched - passthrough
Lincoln Generating Facility LLC,Lincoln Generating Facility LLC,False,unmatched - passthrough
Mesquite Power LLC,Mesquite Power LLC,False,unmatched - passthrough
Solar Partners XI LLC,Solar Partners XI LLC,False,unmatched - passthrough
Hermiston Power Partnership,Hermiston Power Partnership,False,unmatched - passthrough
Orlando Utilities Comm,Orlando Utilities Commission,False,rule
Armstrong Power LLC,Armstrong Power LLC,False,unmatched - passthrough
Sunrise Power Co LLC,Sunrise Power Co LLC,False,unmatched - passthrough
"Nova Power, LLC","Nova Power, LLC",False,unmatched - passthrough
Los Medanos Energy Center LLC,Los Medanos Energy Center LLC,False,unmatched - passthrough
Appalachian Power Co,"American Electric Power Company, Inc.",True,rule
"AES Alamitos Energy, LLC",AES Wind Generation,True,rule
Lea Power Partners LLC,Lea Power Partners LLC,False,unmatched - passthrough
Florida Municipal Power Agency (FL),Municipal / Public Utility (various),False,rule
Basin Electric Power Coop,Basin Electric Power Cooperative,False,rule
Kimura Power LLC,Kimura Power LLC,False,unmatched - passthrough
"Hill Top Energy Center, LLC","Hill Top Energy Center, LLC",False,unmatched - passthrough
AES Indiana,AES Wind Generation,True,rule
Capricorn Ridge Wind LLC,Capricorn Ridge Wind LLC,False,unmatched - passthrough
Canal Generating LLC,Canal Generating LLC,False,unmatched - passthrough
Missouri Jnt Muni.Pwr Elec. Ut. Comm.,Missouri Jnt Muni.Pwr Elec. Ut. Comm.,False,unmatched - passthrough
Griffith Energy LLC,Griffith Energy LLC,False,unmatched - passthrough
Russell City Energy Company LLC,Russell City Energy Company LLC,False,unmatched - passthrough
Empire Generating Co LLC,Empire Generating Co LLC,False,unmatched - passthrough
Lower Mount Bethel Project Company LLC,Lower Mount Bethel Project Company LLC,False,unmatched - passthrough
Astoria Energy II LLC,Astoria Energy II LLC,False,unmatched - passthrough
Samchully Power & Utilities 1 LLC,Samchully Power & Utilities 1 LLC,False,unmatched - passthrough
