site,signature,n_blocks,age_years,horizon_months,R_now,R_future,cond_prob_failure,expected_failures,expected_failures_block_level,beta,eta,distribution,loglik,stratum,credibility_Z,left_truncated
154 D Fisher,BOS_INTERMITTENT,1,10.001,36,0.221189,0.118402,0.464702,0.464702,0.4647,1.3211,7.3259,weibull,,fleet,0.983,True
154 D Fisher,SOILING,1,10.001,12,0.643045,0.609209,0.052618,0.052618,0.0526,1.2118,19.6348,weibull,,fleet,0.983,True
154 D Fisher,SOILING,1,10.001,24,0.643045,0.576547,0.103411,0.103411,0.1034,1.2118,19.6348,weibull,,fleet,0.983,True
154 D Fisher,SOILING,1,10.001,36,0.643045,0.5451,0.152313,0.152313,0.1523,1.2118,19.6348,weibull,,fleet,0.983,True
145 Talmadge Solar,OUTAGE_FULL,5,14.669,12,0.376809,0.348846,0.07421,0.07421,0.371,1.153,14.9815,weibull,,fleet,1.0,True
145 Talmadge Solar,OUTAGE_FULL,5,14.669,24,0.376809,0.322714,0.143561,0.143561,0.7178,1.153,14.9815,weibull,,fleet,1.0,True
145 Talmadge Solar,OUTAGE_FULL,5,14.669,36,0.376809,0.298325,0.208286,0.208286,1.0414,1.153,14.9815,weibull,,fleet,1.0,True
145 Talmadge Solar,SOILING,5,14.669,12,0.495412,0.467292,0.056759,0.056759,0.2838,1.2118,19.6348,weibull,,fleet,1.0,True
145 Talmadge Solar,SOILING,5,14.669,24,0.495412,0.440418,0.111005,0.111005,0.555,1.2118,19.6348,weibull,,fleet,1.0,True
145 Talmadge Solar,SOILING,5,14.669,36,0.495412,0.414775,0.162766,0.162766,0.8138,1.2118,19.6348,weibull,,fleet,1.0,True
145 Talmadge Solar,TRACKER,5,14.669,12,0.620643,0.599274,0.03443,0.03443,0.1722,1.0748,29.209,weibull,,fleet,1.0,True
145 Talmadge Solar,TRACKER,5,14.669,24,0.620643,0.578544,0.067831,0.067831,0.3392,1.0748,29.209,weibull,,fleet,1.0,True
145 Talmadge Solar,TRACKER,5,14.669,36,0.620643,0.558442,0.100219,0.100219,0.5011,1.0748,29.209,weibull,,fleet,1.0,True
154 D Fisher,TRACKER,1,10.001,12,0.729042,0.704611,0.033511,0.033511,0.0335,1.0748,29.209,weibull,,fleet,0.983,True
154 D Fisher,TRACKER,1,10.001,24,0.729042,0.680841,0.066117,0.066117,0.0661,1.0748,29.209,weibull,,fleet,0.983,True
154 D Fisher,TRACKER,1,10.001,36,0.729042,0.65773,0.097816,0.097816,0.0978,1.0748,29.209,weibull,,fleet,0.983,True
154 D Fisher,UNATTRIBUTED,1,10.001,12,0.067967,0.049071,0.278012,0.278012,0.278,1.2,4.3863,weibull,,fleet,0.983,True
154 D Fisher,UNATTRIBUTED,1,10.001,24,0.067967,0.035217,0.481844,0.481844,0.4818,1.2,4.3863,weibull,,fleet,0.983,True
154 D Fisher,UNATTRIBUTED,1,10.001,36,0.067967,0.025134,0.630199,0.630199,0.6302,1.2,4.3863,weibull,,fleet,0.983,True
158th Fighter Wing Solar Farm,BLOCK_OUTAGE,1,14.251,12,0.201557,0.177432,0.11969,0.11969,0.1197,1.1292,9.3899,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,BLOCK_OUTAGE,1,14.251,24,0.201557,0.156026,0.225895,0.225895,0.2259,1.1292,9.3899,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,BLOCK_OUTAGE,1,14.251,36,0.201557,0.137062,0.319985,0.319985,0.32,1.1292,9.3899,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,BOS_INTERMITTENT,1,14.251,12,0.089942,0.071765,0.202096,0.202096,0.2021,1.3211,7.3259,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,BOS_INTERMITTENT,1,14.251,24,0.089942,0.056987,0.366402,0.366402,0.3664,1.3211,7.3259,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,BOS_INTERMITTENT,1,14.251,36,0.089942,0.045045,0.499185,0.499185,0.4992,1.3211,7.3259,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,OUTAGE_FULL,1,14.251,12,0.389087,0.360332,0.073904,0.073904,0.0739,1.153,14.9815,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,OUTAGE_FULL,1,14.251,24,0.389087,0.333443,0.143011,0.143011,0.143,1.153,14.9815,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,OUTAGE_FULL,1,14.251,36,0.389087,0.308335,0.207543,0.207543,0.2075,1.153,14.9815,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,SOILING,1,14.251,12,0.507562,0.478919,0.056433,0.056433,0.0564,1.2118,19.6348,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,SOILING,1,14.251,24,0.507562,0.451525,0.110406,0.110406,0.1104,1.2118,19.6348,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,SOILING,1,14.251,36,0.507562,0.425368,0.161939,0.161939,0.1619,1.2118,19.6348,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,TRACKER,1,14.251,12,0.629786,0.608147,0.034359,0.034359,0.0344,1.0748,29.209,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,TRACKER,1,14.251,24,0.629786,0.58715,0.067698,0.067698,0.0677,1.0748,29.209,weibull,,fleet,1.0,True
158th Fighter Wing Solar Farm,TRACKER,1,14.251,36,0.629786,0.566787,0.100032,0.100032,0.1,1.0748,29.209,weibull,,fleet,1.0,True
12 Applegate Solar LLC,OUTAGE_FULL,6,13.667,12,0.406751,0.376868,0.073467,0.073467,0.4408,1.153,14.9815,weibull,,fleet,1.0,True
12 Applegate Solar LLC,OUTAGE_FULL,6,13.667,24,0.406751,0.348902,0.142223,0.142223,0.8533,1.153,14.9815,weibull,,fleet,1.0,True
12 Applegate Solar LLC,OUTAGE_FULL,6,13.667,36,0.406751,0.322766,0.206478,0.206478,1.2389,1.153,14.9815,weibull,,fleet,1.0,True
12 Applegate Solar LLC,SOILING,6,13.667,12,0.524844,0.495471,0.055967,0.055967,0.3358,1.2118,19.6348,weibull,,fleet,1.0,True
12 Applegate Solar LLC,SOILING,6,13.667,24,0.524844,0.467349,0.109548,0.109548,0.6573,1.2118,19.6348,weibull,,fleet,1.0,True
12 Applegate Solar LLC,SOILING,6,13.667,36,0.524844,0.440472,0.160756,0.160756,0.9645,1.2118,19.6348,weibull,,fleet,1.0,True
118 Echo,SOILING,1,2.42,12,0.923937,0.886657,0.040349,0.040349,0.0403,1.2118,19.6348,weibull,,fleet,0.383,True
118 Echo,SOILING,1,2.42,24,0.923937,0.848615,0.081523,0.081523,0.0815,1.2118,19.6348,weibull,,fleet,0.383,True
118 Echo,SOILING,1,2.42,36,0.923937,0.810445,0.122835,0.122835,0.1228,1.2118,19.6348,weibull,,fleet,0.383,True
118 Echo,TRACKER,1,2.42,12,0.933538,0.905076,0.030489,0.030489,0.0305,1.0748,29.209,weibull,,fleet,0.383,True
118 Echo,TRACKER,1,2.42,24,0.933538,0.876872,0.060701,0.060701,0.0607,1.0748,29.209,weibull,,fleet,0.383,True
118 Echo,TRACKER,1,2.42,36,0.933538,0.849084,0.090467,0.090467,0.0905,1.0748,29.209,weibull,,fleet,0.383,True
118 Echo,UNATTRIBUTED,1,2.42,12,0.612685,0.476206,0.222755,0.222755,0.2228,1.2,4.3863,weibull,,fleet,0.383,True
118 Echo,UNATTRIBUTED,1,2.42,24,0.612685,0.364479,0.405112,0.405112,0.4051,1.2,4.3863,weibull,,fleet,0.383,True
118 Echo,UNATTRIBUTED,1,2.42,36,0.612685,0.275507,0.550329,0.550329,0.5503,1.2,4.3863,weibull,,fleet,0.383,True
"York Road Solar I, LLC",OUTAGE_FULL,1,10.251,12,0.524342,0.487356,0.070537,0.070537,0.0705,1.153,14.9815,weibull,,fleet,1.0,True
"York Road Solar I, LLC",OUTAGE_FULL,1,10.251,24,0.524342,0.452525,0.136965,0.136965,0.137,1.153,14.9815,weibull,,fleet,1.0,True
