plant_id,plant_name,customer,is_ssi_customer,state,ba,tech,mw,original_cod,bop_age,C1,C2,C3,C4,C5,C6,C7,BPRI,bpri_confidence,tier,exposure_composite,evidence_led,exposure_led,evidence_imputed,cooling_signal_pct,cooling_trend_pct_per_yr,summer_penalty_pct,summer_gap_to_envelope_pct,cooling_flag_years,c2_years,starts_per_MW_yr,cum_starts_est,trip_rate,cold_start_share,ramp_p95,lf_cv,low_lf_share,interruptible,c3_source,has_cems,heat_input_ratio,recoverable_usd,dominant_signature,suggested_scope,chp_cohort,climate_region,size_band
1670,High Street Station,Municipal / Public Utility (various),False,MA,ISNE,IC,8.5,1951.0,74.0,,50.0,88.23529411764707,,,100.0,,71.47058823529412,low,EXPOSED,92.94117647058823,False,True,True,,,,,0.0,0.0,,,,,,0.8894513047347395,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,coastal,0.0
1240,Gordon Evans Energy Center,Evergy,True,KS,SWPP,GT,375.1,2000.0,25.0,,88.0,79.20353982300884,66.3716814159292,33.6283185840708,64.65517241379311,26.96078431372549,71.44667357330482,high,LIKELY,62.2503811140297,True,False,False,-5.32572031985978,-0.6699595389331436,-5.32572031985978,4.0535889620893215,0.0,5.0,0.9664089576113036,9062.5,63.865147198480535,0.27586206896551724,0.4417997097242378,0.8398901018070631,0.8414634146341463,0.0,CEMS,True,1.0414467214036358,0.0,UNATTRIBUTED,"Diagnostic visit (heat-balance walkdown, fuel-gas and lube-oil systems) - scope TBD",False,inland,3.0
2296,Pender,City of Pender - (NE),False,NE,SWPP,IC,4.9,1953.0,72.0,,50.0,91.33355470520647,,,94.92307692307692,,71.38468179617732,low,EXPOSED,92.76936359235465,False,True,True,,,,,0.0,0.0,,,,,,1.0928546255878335,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
2305,Stuart (NE),City of Stuart - (NE),False,NE,SWPP,IC,0.7,1952.0,73.0,,50.0,90.35635600813805,,,96.15384615384616,,71.33767603321064,low,EXPOSED,92.6753520664213,False,True,True,,,,,0.0,0.0,,,,,,0.9320636441842053,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
2313,West Point Municipal,City of West Point - (NE),False,NE,SWPP,IC,4.4,1947.0,78.0,,50.0,88.07622571497845,,,99.38461538461539,,71.29979079141661,low,EXPOSED,92.59958158283322,False,True,True,,,,,0.0,0.0,,,,,,0.7722199824861186,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
1891,Syl Laskin,Allete Clean Energy,True,MN,MISO,ST,116.0,1953.0,72.0,61.21739130434783,77.41935483870968,78.26086956521738,60.86956521739131,78.26086956521739,82.5,,71.27282793238355,high,LIKELY,74.97282608695652,True,False,False,2.234539379266954,-0.4884053683803734,2.234539379266954,21.45737419837772,0.0,2.0,0.2629310344827586,2196.0,1.295441664642539,0.7049180327868853,0.3253588516746411,0.9685424227413271,0.6290322580645161,,CEMS,True,0.9670975914392045,0.0,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,False,inland,1.0
50963,Naval Hospital Medical Center,Department of the Navy,False,CA,CISO,GT,5.3,2003.0,22.0,,73.33333333333333,80.10752688172042,,,52.57731958762887,,71.21438864870856,low,LOW,69.0954439640838,False,False,False,-0.7497530586084933,0.01498122652657631,-0.7497530586084933,-34.918821105565456,0.0,2.0,,,,,,0.45570345290061076,0.1206896551724138,,proxy (LF variance),False,,0.0,FOULING,No action,True,coastal,0.0
50310,Standby Generation Plant,Pensacola Christian College,False,FL,FPL,IC,13.700000000000003,1988.0,37.0,,50.0,91.91176470588235,,,93.10344827586206,,71.19421906693711,low,EXPOSED,92.38843813387423,False,True,True,,,,,0.0,0.0,,,,,,2.0379968613736996,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,coastal,0.0
1555,Notch Cliff,Constellation Energy Corp.,True,MD,PJM,GT,144.0,1969.0,56.0,,50.0,90.05376344086022,,,95.87628865979381,,71.19138676421683,low,EXPOSED,92.38277352843366,False,True,True,,,,,0.0,0.0,,,,,,0.5778878136618634,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,coastal,0.0
55091,Midlothian Energy Facility,Vistra Group,False,TX,ERCO,CC,1734.0,2000.0,25.0,70.8955223880597,27.205882352941174,98.4375,96.875,100.0,90.44117647058823,91.17647058823529,71.12619348112379,high,EXPOSED,95.68014705882354,False,True,False,1.4524299532368647,0.17234357118097415,1.4524299532368647,6.39816898804999,0.0,0.0,0.2370242214532872,10275.0,12.088180265191573,0.01338199513381995,0.3383724256292903,0.43232538314115215,0.07142857142857142,1.0,CEMS,True,1.047615774844623,0.0,FOULING,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,3.0
60768,Gila River Power Block 2,Fortis Group (TEP/UNS),False,AZ,SRP,CC,619.0,2003.0,22.0,86.36363636363636,78.78787878787878,51.515151515151516,,,50.0,42.42424242424242,71.1229946524064,low,CONFIRMED,49.494949494949495,True,False,False,2.3604633164007156,0.12131242471001809,2.3604633164007156,7.035823708341675,2.0,5.0,,,,,,0.31616230238637394,0.0375,0.0,proxy (LF variance),False,,0.0,FOULING,Condenser performance test + circulating-water flow verification + circ-water pump vibration survey,False,arid,2.0
533,McWilliams,Electric Cooperative (various),False,AL,SOCO,CC,654.0,1954.0,71.0,30.287884846061576,94.35483870967742,95.16129032258064,95.16129032258065,59.67741935483871,98.81889763779527,34.67741935483871,71.0650294111464,high,LIKELY,85.31100951090791,True,False,False,-1.4069163058809504,0.02525609322409185,-1.4069163058809504,10.34666112084763,0.0,6.0,0.33715596330275227,15655.5,10.448800875709026,0.1564625850340136,0.18422242314647377,0.2886116452726299,0.0,0.0,CEMS,True,0.9490973423603214,476880.6373412611,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,False,inland,2.0
3149,TalenEnergy Montour,Talen Energy Group,False,PA,PJM,ST,1757.9,1972.0,53.0,43.75,100.0,41.66666666666667,100.0,66.66666666666666,85.0,95.0,70.95833333333334,high,LIKELY,72.96296296296295,True,False,False,1.802518207349392,-3.7575171444750843,1.802518207349392,0.28630883632188764,0.0,3.0,0.0,0.0,0.691085003455425,,0.20761904761904762,0.8597652737032696,0.39285714285714285,1.0,CEMS,True,0.6168847916390896,0.0,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,False,inland,4.0
2238,Franklin (NE),City of Franklin - (NE),False,NE,SWPP,IC,3.9,1955.0,70.0,,50.0,91.17068825569505,,,92.3076923076923,,70.81274493824698,low,EXPOSED,91.62548987649396,False,True,True,,,,,0.0,0.0,,,,,,1.0898617614143018,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
1998,Mountain Lake,Municipal / Public Utility (various),False,MN,MISO,IC,2.4000000000000004,1954.0,71.0,,50.0,90.19348955862665,,,93.53846153846153,,70.7657391752803,low,EXPOSED,91.5314783505606,False,True,True,,,,,0.0,0.0,,,,,,0.9182023275745864,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
2232,Curtis,City of Curtis - (NE),False,NE,SWPP,IC,3.4,1955.0,70.0,,50.0,90.84495535667226,,,92.3076923076923,,70.71502506854014,low,EXPOSED,91.43005013708029,False,True,True,,,,,0.0,0.0,,,,,,1.0328413955921367,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
2986,Kingfisher,City of Kingfisher - (OK),False,OK,SWPP,IC,9.1,1954.0,71.0,,50.0,89.86775665960386,,,93.53846153846153,,70.66801930557347,low,EXPOSED,91.33603861114693,False,True,True,,,,,0.0,0.0,,,,,,0.8583918385852113,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
7985,Greater Des Moines,MidAmerican Energy Company,True,IA,MISO,CC,576.3,2003.0,22.0,52.42902838864454,95.96774193548387,84.2741935483871,88.70967741935483,77.41935483870968,38.188976377952756,34.67741935483871,70.65647712213058,high,LIKELY,68.746295825925,True,False,False,-1.572076618673407,1.185216679467071,-1.572076618673407,1.708750769095675,0.0,6.0,0.2663543293423564,3377.0,8.652799266517679,0.2280130293159609,0.22541966426858512,0.6725768342731114,0.2804878048780488,0.0,CEMS,True,0.9880979621720662,0.0,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,False,inland,2.0
7469,Madison Utilities,City of Madison - (NE),False,NE,SWPP,IC,5.800000000000001,1953.0,72.0,,50.0,88.89055796253544,,,94.92307692307692,,70.65178277337601,low,EXPOSED,91.30356554675203,False,True,True,,,,,0.0,0.0,,,,,,0.7846288887901748,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,0.0
54224,Franklin Heating Station,Franklin Heating Station,False,MN,MISO,IC,4.8,1982.0,43.0,,50.0,92.85714285714286,,,88.88888888888889,,70.63492063492063,low,EXPOSED,91.26984126984127,False,True,True,,,,,0.0,0.0,,,,,,0.5408187671988947,1.0,,proxy (LF variance),False,,0.0,HEALTHY,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",True,industrial,1.0
55455,Red Hawk,Pinnacle West / APS,False,AZ,SRP,CC,1127.0,2002.0,23.0,59.09090909090909,90.9090909090909,75.0,75.0,42.857142857142854,71.21212121212122,42.42424242424242,70.58982683982684,high,LIKELY,66.96729196729197,True,False,False,-0.7107011503871284,0.05195843466986983,-0.7107011503871284,1.327717205358724,0.0,1.0,0.19920141969831412,5163.5,7.2490665735059725,0.051224944320712694,0.19791105121293767,0.3020914608376685,0.0,0.0,CEMS,True,0.9929717548131194,0.0,FOULING,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,False,arid,2.0
2393,Gilbert,"Gilbert Power, LLC",False,NJ,PJM,GT,161.0,1996.0,29.0,,98.0,9.29203539823009,67.2566371681416,83.1858407079646,83.62068965517241,85.29411764705883,70.5793370140244,high,LOW,55.34563535514908,True,False,False,-0.4120380780620436,,-0.4120380780620436,17.827790312302927,0.0,1.0,0.14285714285714285,667.0,64.030131826742,0.41304347826086957,0.6271341463414635,0.7493353038787348,1.0,1.0,CEMS,True,0.9625143553788268,0.0,UNATTRIBUTED,No action,False,inland,3.0
54547,Sithe Independence Station,Vistra Group,False,NY,NYIS,CC,1157.8,1994.0,31.0,46.85459149673464,75.0,95.16129032258064,70.16129032258065,75.0,88.58267716535433,76.61290322580645,70.5356129074913,high,LIKELY,83.84274546326868,True,False,False,1.9764352972390473,-0.17104204175949073,1.9764352972390473,-1.2902384662141018,2.0,3.0,0.3523924684746934,12648.0,3.601418517906032,0.04044117647058824,0.21905940594059406,0.48771969675191207,0.12048192771084337,0.11904761904761907,CEMS,True,0.964819581261046,0.0,UNATTRIBUTED,Diagnostic visit (heat-balance walkdown; condenser / cooling-water check if a summer penalty is present) - scope TBD,True,inland,2.0
50003,Chalk Cliff Limited,"WGP Redwood Holdings, LLC",False,CA,CISO,GT,46.0,1990.0,35.0,,75.0,69.11764705882354,,,61.42857142857143,,70.52100840336135,low,LIKELY,66.0420168067227,True,False,False,1.5659292625215593,0.4701906316492443,1.5659292625215593,-31.027562275037855,0.0,3.0,,,,,,1.2859378272750877,0.9259259259259259,,proxy (LF variance),False,,0.0,UNATTRIBUTED,"Diagnostic visit (heat-balance walkdown, fuel-gas and lube-oil systems) - scope TBD",True,arid,1.0
55198,Riverside Generating LLC,Riverside Generating Co LLC,False,KY,PJM,GT,1150.0,2001.0,24.0,,41.66666666666667,71.42857142857143,100.0,100.0,85.71428571428571,92.85714285714286,70.49319727891155,high,EXPOSED,86.5079365079365,False,True,False,0.004097912070354556,-0.4081957416087136,0.004097912070354556,23.104604399322383,0.0,0.0,0.3452173913043478,9528.0,77.49823178741033,0.27455919395465994,0.4385442721360677,0.8471577254805763,0.9629629629629629,1.0,CEMS,True,0.8595136404877061,0.0,NONRECOVERABLE,"Preventative: baseline vibration survey of BoP pumps (circ water, condensate, feedwater, lube oil) + monitoring plan",False,inland,4.0
