plant_id,plant_name,state,hybrid_reasons
66764,SCH - (2A) 156 Barhydt Rd Glenville,NY,"colocated_firming,pv_same_plant,dc_coupled"
66765,SCH County - (2B) 4982 Rynex Corners Rd,NY,"pv_same_plant,dc_coupled"
66767,Source Power Company - Richland,NY,"pv_same_plant,dc_coupled"
66772,Estrella Solar & Storage,CA,pv_same_plant
66773,Raceway Solar & Storage,CA,pv_same_plant
66799,Bishop Ranch - BR 1-Y,CA,pv_same_plant
66800,Bishop Ranch - BR 8-P,CA,pv_same_plant
66801,"Fence Post Solar Hybrid Project, LLC",TX,pv_same_plant
66807,SEPV Cuyama Hybrid,CA,"pv_same_plant,dc_coupled"
66814,Sky Ranch Solar,NM,pv_same_plant
66871,"GulfStar Power, LLC",TX,pv_same_plant
66872,"Estonian Solar Project, LLC",TX,pv_same_plant
66885,Baldy Mesa 2_Silver Peak Hybrid,CA,"pv_same_plant,dc_coupled"
66890,"SF Azalea, LLC",CA,pv_same_plant
66905,Ables Springs Solar & Storage,TX,pv_same_plant
66925,SR McNeal,AZ,pv_same_plant
66951,Scarlet II Hybrid,CA,pv_same_plant
67019,"Copperhead Solar, LLC",TX,pv_same_plant
67039,"Northern Orchard Solar PV, LLC",CA,"pv_same_plant,dc_coupled"
67091,Yellow Pine II,NV,pv_same_plant
67092,Paulsell,CA,pv_same_plant
67119,Ring Road,MA,"pv_same_plant,dc_coupled"
67170,Amazon SAN3 Solar Project,CA,"pv_same_plant,dc_coupled"
67178,Mohave Energy - Hybrid,AZ,"colocated_firming,pv_same_plant,dc_coupled"
67241,401 South,MA,pv_same_plant
67242,5 Berry,MA,"pv_same_plant,dc_tight"
67275,White Plains_RFP-Gedney Way Landfill,NY,"colocated_firming,pv_same_plant"
67276,Upland,MA,"pv_same_plant,dc_coupled"
67277,Bishop Ranch - BR 15-DD,CA,pv_same_plant
67278,Bishop Ranch - BR 2600,CA,pv_same_plant
67281,FFP - NY Urbanski,NY,"rte_gt_1,colocated_firming,pv_same_plant,dc_coupled"
67282,FFP - NY Varano,NY,"colocated_firming,pv_same_plant,dc_coupled"
67284,Ganado Solar,TX,pv_same_plant
67285,Sun Streams 3,AZ,"colocated_firming,pv_same_plant"
67288,Foster Clean Power A,CA,"pv_same_plant,dc_coupled"
67291,Sun Streams 4,AZ,"colocated_firming,pv_same_plant"
67296,CVEC Round 4 Brewster Captn Golf Course,MA,"colocated_firming,pv_same_plant"
67321,Yuma Solar + Storage,AZ,pv_same_plant
67322,Mamm Creek,CO,"colocated_firming,pv_same_plant,dc_coupled"
67323,High Mesa CO,CO,"colocated_firming,pv_same_plant,dc_coupled"
67457,665 Scenic Highway,MA,"pv_same_plant,dc_coupled"
67464,1 Commercial,MA,"pv_same_plant,dc_coupled"
67474,Harquahala 2,AZ,pv_same_plant
67489,Cavalry Solar Hybrid,IN,pv_same_plant
67503,Serrano,AZ,"colocated_firming,pv_same_plant"
67528,Milagro Solar I,NM,pv_same_plant
67545,Marshall Solar Plus LLC,MN,"colocated_firming,pv_same_plant"
67577,Monument Valley,MA,"pv_same_plant,dc_tight"
67578,Sandwich,MA,"pv_same_plant,dc_tight"
67695,Holtville,CA,rte_gt_1
67710,TAG,NM,pv_same_plant
67743,Bishop Ranch BR 1-X,CA,pv_same_plant
67745,White Plains RFP Shapham Place,NY,"colocated_firming,pv_same_plant"
67762,Stampede Solar Hybrid,TX,pv_same_plant
67764,Rosamond South 1,CA,pv_same_plant
67843,Farmersville West,TX,rte_gt_1
67850,Arrowleaf Solar and Storage,CA,pv_same_plant
67859,Foster Clean Power B,CA,"pv_same_plant,dc_coupled"
67867,Liberty Hybrid Solar and Storage Project,TX,pv_same_plant
67893,Dunns Bridge II Solar,IN,pv_same_plant
67898,Escape Solar Plant,NV,pv_same_plant
68023,BCE Seal Beach,CA,"colocated_firming,pv_same_plant"
68064,CA- US Foods- Livermore,CA,"colocated_firming,pv_same_plant"
68069,Old Frontier Solar III,MA,"pv_same_plant,dc_coupled"
68147,Coffeen Solar BESS,IL,pv_same_plant
68148,Baldwin Solar BESS,IL,pv_same_plant
68266,North Juvenile Detention Center Solar,CA,pv_same_plant
68460,Roadrunner Crossing Energy Storage,TX,colocated_firming
68522,Bishop Ranch - BR 8-O,CA,pv_same_plant
68523,Bishop Ranch - BR 8-Q,CA,pv_same_plant
68524,Bishop Ranch - BR 15-AA,CA,pv_same_plant
68525,Bishop Ranch - BR 15-CC,CA,pv_same_plant
68547,Tipton 1 - (CA),CA,pv_same_plant
68548,Tipton 2 - (CA),CA,pv_same_plant
68605,Mauna Loa Macadamia Nut,HI,pv_same_plant
68679,Partridge Solar,MA,pv_same_plant
68680,Saddleback Solar,MA,pv_same_plant
68742,Skyline Solar,MA,pv_same_plant
68743,Adams Grove Solar,MA,pv_same_plant
68773,Apollo,MA,"colocated_firming,pv_same_plant,dc_coupled"
68816,Google Bayhill Solar PV and Microgrid,CA,"pv_same_plant,dc_coupled"
68868,Shallow Basket,NM,pv_same_plant
68891,Visalia - (CA),CA,pv_same_plant
68906,Pine Forest Solar I,TX,pv_same_plant
68950,Marston Mills Solar,MA,pv_same_plant
68997,Thermo Fisher Pleasanton,CA,"pv_same_plant,dc_coupled"
69042,Kit Carson Co-Op,NM,pv_same_plant
69072,Fresno-Clovis RWRF,CA,pv_same_plant
69073,20 Bedford,MA,"pv_same_plant,dc_coupled"
69075,376 Nash,MA,"pv_same_plant,dc_coupled"
69076,342 Circuit,MA,"pv_same_plant,dc_coupled"
69129,Dudley Landfill Solar LLC,MA,"pv_same_plant,dc_coupled"
69131,Hampden Landfill Solar LLC,MA,"pv_same_plant,dc_coupled"
69187,Big Bend 1 Solar and Battery Storage,FL,pv_same_plant
69190,"GreenStruxure BBU004, LLC",CA,"pv_same_plant,dc_coupled"
69191,"GreenStruxure REP009, LLC",CA,dc_coupled
69210,Salem Henningsen,OR,pv_same_plant
69288,Palm Springs DAC PV,CA,pv_same_plant
69414,Blevins Solar & Storage,TX,pv_same_plant
69544,0 Middle,MA,"pv_same_plant,dc_coupled"
69545,15 Lincoln,MA,"pv_same_plant,dc_coupled"
69568,NL MA - Division,MA,"pv_same_plant,dc_coupled"
69680,BHER Ravenswood Solar 1,WV,pv_same_plant
69712,San Diego Sockers,CA,pv_same_plant
69727,Martinsville BESS,VA,rte_gt_1
70111,Kern Co Sheriff,CA,pv_same_plant
70307,"Milk Street Solar, LLC",MA,pv_same_plant
70384,"Yorktown NY 1, LLC",NY,pv_same_plant
