plant_id,plant_name,state,hybrid_reasons
63554,Mohave Electric Cooperative at Joy Lane,AZ,pv_same_plant
63585,NY3 Battery,NY,rte_gt_1
63721,Cool Springs Solar (Hybrid),GA,"rte_gt_1,pv_same_plant,dc_coupled"
63722,Rawhide Prairie Solar Hybrid,CO,pv_same_plant
63723,Ho'Ohana Solar 1,HI,"colocated_firming,pv_same_plant"
63727,Slate Hybrid,CA,"colocated_firming,pv_same_plant"
63728,Taos Mesa Energy Facility Hybrid,NM,pv_same_plant
63731,Neptune Energy Center Hybrid,CO,"colocated_firming,pv_same_plant"
63763,CES Agawam Tuckahoe Solar Hybrid,MA,"rte_gt_1,colocated_firming,pv_same_plant,dc_coupled"
63774,Mount Kisco Landfill Solar & Storage CSG,NY,"colocated_firming,pv_same_plant"
63776,Thunder Wolf Energy Center Hybrid,CO,"colocated_firming,pv_same_plant"
63804,Partridgeville Hybrid CSG,MA,pv_same_plant
63805,Williamsville Hybrid CSG,MA,pv_same_plant
63843,"Johanna Energy Center, LLC",CA,colocated_firming
63848,Solar Blue,CA,pv_same_plant
63849,Chestnut,CA,pv_same_plant
63859,"Golden Field Solar III, LLC",CA,pv_same_plant
63891,Saticoy,CA,rte_gt_1
63892,Lily Solar Hybrid,TX,pv_same_plant
63900,AES Waikoloa Solar Hybrid,HI,"rte_gt_1,pv_same_plant,dc_tight"
63905,Azure Sky Solar,TX,pv_same_plant
63913,Dodge Flat,NV,"rte_gt_1,pv_same_plant,dc_tight"
63930,Cal Flats BESS,CA,"rte_gt_1,colocated_firming"
63933,Dry Lake Solar Energy Center,NV,pv_same_plant
64000,Amaterasu LLC,MA,"pv_same_plant,dc_tight"
64042,Montague Road Solar,MA,"colocated_firming,pv_same_plant"
64050,Fort Bragg - Camp Mackall PV BESS System,NC,"pv_same_plant,dc_coupled"
64084,Blanchard Road 1 Community Solar,NY,"pv_same_plant,dc_tight"
64087,Blanchard Road 2 Community Solar,NY,"pv_same_plant,dc_tight"
64090,NYS Rte 12 Community Solar,NY,"pv_same_plant,dc_tight"
64092,Great Lakes Seaway Community Solar,NY,"pv_same_plant,dc_tight"
64103,Desert Harvest II LLC,CA,"pv_same_plant,dc_coupled"
64105,"Maverick Solar 6, LLC",CA,"rte_gt_1,pv_same_plant,dc_coupled"
64128,Ware Palmer Road Solar LLC CSG,MA,"colocated_firming,pv_same_plant,dc_coupled"
64129,East Brookfield Adams Road Solar LLC CSG,MA,"colocated_firming,pv_same_plant,dc_coupled"
64140,"BWC Stony Brook, LLC Hybrid",MA,"rte_gt_1,pv_same_plant,dc_tight"
64147,ZPD-PT Solar Project 2017-038 Hybrid LLC,MA,"rte_gt_1,pv_same_plant,dc_tight"
64148,Fish Springs,NV,"rte_gt_1,pv_same_plant,dc_tight"
64170,"BWC Muddy Brook, LLC Hybrid",MA,"pv_same_plant,dc_tight"
64182,"BWC Lake Lashaway, LLC Hybrid",MA,"pv_same_plant,dc_tight"
64185,ZPD-PT Solar Project 2017-023 LLC Hybrid,MA,"rte_gt_1,pv_same_plant,dc_tight"
64187,ZPD-PT Solar Project 2017-021 LLC Hybrid,MA,"rte_gt_1,pv_same_plant,dc_tight"
64197,"Fifth Standard Solar PV, LLC (Hybrid)",CA,pv_same_plant
64198,"Horn Rapids Solar, Storage and Training",WA,"rte_gt_1,colocated_firming,pv_same_plant"
64202,"Big Star Solar, LLC (Hybrid)",TX,pv_same_plant
64210,Bellefield Solar and Energy Storage Farm,CA,pv_same_plant
64213,Auburn Solar Project,MA,"pv_same_plant,dc_coupled"
64222,Burt County Solar Hybrid,NE,"colocated_firming,pv_same_plant"
64223,Dodge County Solar Hybrid,NE,"colocated_firming,pv_same_plant"
64231,Hadley 3 Solar (North),MA,pv_same_plant
64232,Hadley 3 Solar (South),MA,"colocated_firming,pv_same_plant"
64256,AES Maui Kuihelani Solar Hybrid,HI,"pv_same_plant,dc_coupled"
64374,Norwich Solar and Energy Storage CSG,NY,"rte_gt_1,colocated_firming,pv_same_plant,dc_tight"
64395,ZPD-PT Solar Project 2017-006 LLC Hybrid,MA,"rte_gt_1,pv_same_plant,dc_tight"
64400,BYU - Hawaii,HI,pv_same_plant
64426,Wilmot Energy Center LLC,AZ,pv_same_plant
64432,Breckenridge Solar,MA,pv_same_plant
64436,Wilmarth Solar,MA,pv_same_plant
64442,Mt Pleasant Community Center,NY,pv_same_plant
64446,Arlington Microgrid,WA,"colocated_firming,pv_same_plant"
64450,"Grissom Solar, LLC",NC,pv_same_plant
64453,Volney II,NY,"colocated_firming,pv_same_plant,dc_tight"
64481,Arlington Energy Center II,CA,pv_same_plant
64489,Resurgence Solar,CA,pv_same_plant
64508,Hall Solar Energy Storage,NC,pv_same_plant
64509,South River H4 Solar Energy Storage,NC,pv_same_plant
64510,Arba Solar Energy Storage,NC,pv_same_plant
64511,Rose Acre Solar Energy Storage,NC,pv_same_plant
64512,Hamlet Solar Energy Storage,NC,pv_same_plant
64513,Wake RJ3 Solar Energy Storage,NC,pv_same_plant
64514,Ludie Brown Solar Energy Storage,NC,pv_same_plant
64516,Lowe Solar Energy Storage,NC,pv_same_plant
64520,Spencer Meadow Solar Energy Storage,NC,pv_same_plant
64522,Old Cedar Solar Energy Storage,NC,"rte_gt_1,pv_same_plant"
64529,Golden Triangle,MS,pv_same_plant
64534,Darien Solar,WI,pv_same_plant
64564,Arlington Energy Center III,CA,pv_same_plant
64601,County of San Diego COC Hybrid,CA,"rte_gt_1,pv_same_plant"
64611,SEPV Sierra,CA,"rte_gt_1,colocated_firming,pv_same_plant,dc_coupled"
64617,Kearsarge William Way,MA,pv_same_plant
